trial size orLarge phase dur orSmall task response rt
1 8 90 0.8 6 1.5 equ n 1.45827023476
2 8 270 0.0 6 -1.0 comp down 0.740854875005
3 8 90 0.8 6 -1.0 comp up 0.893775538872
4 8 0 0.4 6 0.0 comp right 1.0701556489
5 8 0 0.0 6 1.5 comp right 0.670333187301
6 8 180 0.0 6 -1.5 comp right 0.776164012981
7 8 0 0.2 6 1.5 equ n 0.917297077478
8 8 180 0.4 6 1.5 equ n 0.882013236423
9 8 180 0.8 6 0.0 comp left 1.30541051348
10 8 180 0.4 6 2.0 comp left 0.764377563469
11 8 270 0.0 6 1.5 comp up 0.811452836762
12 8 270 0.0 6 -1.5 equ n 0.870257833135
13 8 90 0.2 6 0.0 comp up 1.49353567805
14 8 0 0.2 6 -0.5 equ n 1.05840791134
15 8 0 0.2 6 1.0 equ m 1.69348753724
16 8 270 0.8 6 -1.5 equ n 1.65818568171
17 8 90 0.4 6 1.0 comp down 0.929076627828
18 8 0 0.8 6 0.5 comp right 1.02304856281
19 8 0 0.4 6 -1.0 comp left 0.705630060103
20 8 180 0.8 6 1.5 equ n 1.41124938818
21 8 270 0.2 6 0.0 comp down 0.917267181114
22 8 90 0.4 6 -1.5 equ n 1.50534359162
23 8 0 0.6 6 -1.0 comp left 0.752654356264
24 8 90 0.6 6 -0.5 comp up 1.75223427403
25 8 180 0.4 6 0.5 comp left 0.764404010252
26 8 0 0.6 6 -2.0 equ n 0.85847176691
27 8 270 0.0 6 1.5 equ n 1.21131631004
28 8 90 0.6 6 0.5 equ m 0.917324290833
29 8 270 0.6 6 -0.5 equ n 0.799681718719
30 8 270 0.6 6 -1.0 comp down 0.870226403625
31 8 180 0.8 6 1.5 comp left 0.729155048288
32 8 270 0.2 6 -1.0 equ n 0.882040833066
33 8 0 0.8 6 2.0 equ n 0.870285813064
34 8 0 0.0 6 1.5 equ n 1.0349365833
35 8 90 0.6 6 1.5 comp down 0.764446555077
36 8 90 0.2 6 -1.0 equ n 0.999581834203
37 8 180 0.4 6 -0.5 comp right 0.917272547128
38 8 180 0.2 6 -1.0 comp right 0.658565518838
39 8 180 0.8 6 -1.5 equ n 0.893800452508
40 8 90 0.2 6 0.0 equ m 1.9639361705
41 8 0 0.2 6 0.0 comp left 0.799702799488
42 8 90 0.4 6 0.0 equ m 0.846749709564
43 8 270 0.8 6 0.5 comp down 0.834973225507
44 8 270 0.4 6 0.0 equ n 3.2339942346
45 8 180 0.6 6 1.0 comp left 0.787936664171
46 8 90 0.0 6 1.0 equ m 1.92864236399
47 8 270 0.2 6 1.5 equ m 1.30538866614
48 8 0 0.4 6 -0.5 comp left 0.623323456035
49 8 270 0.4 6 -1.0 equ n 0.764189369697
50 8 270 0.4 6 1.0 equ m 0.964290327415
51 8 270 0.2 6 0.5 comp down 0.693872357094
52 8 0 0.2 6 -1.0 comp left 0.787926698717
53 8 90 0.8 6 -1.0 equ n 0.893748708803
54 8 90 0.8 6 -2.0 equ n 0.740878255493
55 8 90 0.0 6 1.5 equ m 0.799685934873
56 8 90 0.8 6 1.0 comp down 0.693885388842
57 8 270 0.8 6 0.0 comp down 0.964312558044
58 8 0 0.2 6 2.0 equ n 0.976098624269
59 8 270 0.8 6 2.0 comp up 0.905535924888
60 8 270 0.8 6 2.0 equ n 0.905523276427
61 8 270 0.4 6 -2.0 comp down 0.729107520737
62 8 180 0.4 6 0.0 equ m 0.834955594319
63 8 0 0.0 6 1.0 comp right 0.858497447119
