trial size orLarge phase dur orSmall task response rt
1 8 0 0.2 6 1.5 comp right 0.729172791293
2 8 0 0.8 6 2.0 equ n 1.02314294004
3 8 0 0.8 6 -1.0 comp left 0.846744522716
4 8 180 0.6 6 -1.5 comp right 0.776156255857
5 8 0 0.8 6 -2.0 comp left 0.670380218037
6 8 270 0.2 6 0.0 comp up 1.43475687839
7 8 270 0.0 6 0.0 comp up 1.21131520355
8 8 0 0.4 6 -2.0 comp left 0.776203783591
9 8 90 0.0 6 0.5 comp down 0.905551660922
10 8 0 0.2 6 1.0 comp right 0.62329633197
11 8 180 0.0 6 1.0 equ n 1.57586518682
12 8 180 0.6 6 -2.0 equ n 1.03488765632
13 8 270 0.8 6 1.0 comp up 0.764426487819
14 8 90 0.2 6 -1.0 comp up 1.02315520526
15 8 0 0.2 6 -1.0 equ m 1.84638116553
16 8 180 0.2 6 1.0 comp left 0.717390512774
17 8 90 0.6 6 1.0 comp down 0.705586386831
18 8 90 0.8 6 0.0 comp down 1.30537488842
19 8 0 0.2 6 -2.0 equ n 1.21131482026
20 8 270 0.2 6 0.0 equ m 0.917306725979
21 8 90 0.0 6 -1.0 comp up 0.799731161674
22 8 0 0.6 6 2.0 equ n 1.66997853203
23 8 270 0.6 6 0.5 comp up 1.01142007119
24 8 180 0.0 6 -2.0 equ n 1.32891951447
25 8 90 0.8 6 2.0 comp down 1.21173030464
26 8 180 0.0 6 -1.5 comp right 0.75266758988
27 8 270 0.6 6 -2.0 equ n 0.964359182416
28 8 180 0.4 6 1.0 comp left 0.623271034951
29 8 90 0.2 6 0.5 comp down 1.01142160434
30 8 90 0.4 6 -1.0 comp up 0.964364165162
31 8 180 0.2 6 -2.0 comp right 0.846721525426
32 8 270 0.4 6 2.0 equ n 1.56412277027
33 8 180 0.8 6 1.0 comp left 0.635071711301
34 8 270 0.6 6 1.0 equ n 1.1524931171
35 8 180 0.8 6 1.5 comp left 0.670339206203
36 8 270 0.0 6 0.5 equ n 1.48183118226
37 8 270 0.0 6 -1.0 comp down 0.917295227334
38 8 0 0.4 6 -2.0 equ n 0.870239704592
39 8 0 0.4 6 0.0 comp left 1.03488037384
40 8 0 0.0 6 -0.5 equ m 2.56378892627
41 8 0 0.4 6 -0.5 equ m 0.999628977046
42 8 180 0.2 6 2.0 comp left 0.905551277634
43 8 270 0.0 6 1.5 comp up 0.870328244161
44 8 0 0.2 6 -0.5 comp right 0.740935905401
45 8 90 0.2 6 0.0 comp down 0.917300976656
46 8 180 0.8 6 0.0 equ n 2.96361981952
47 8 0 0.6 6 0.5 comp right 0.658602922266
48 8 270 0.4 6 1.0 comp up 0.658560377278
49 8 270 0.4 6 2.0 comp up 0.740917124281
50 8 90 0.6 6 -1.0 comp up 0.729088467894
51 8 270 0.8 6 1.5 comp up 0.670344188949
52 8 0 0.2 6 -1.5 comp left 0.705585236966
53 8 270 0.2 6 2.0 equ n 1.64621083226
54 8 0 0.8 6 1.5 comp right 0.599745573309
55 8 180 0.6 6 0.0 equ m 2.51671845529
56 8 0 0.0 6 1.0 equ m 0.952528609587
57 8 90 0.2 6 -1.5 equ n 0.69385930181
58 8 180 0.2 6 0.5 equ m 3.53991773869
59 8 90 0.8 6 2.0 equ n 1.58764286588
60 8 270 0.2 6 0.5 equ m 0.787915537084
61 8 90 0.8 6 -1.0 comp up 2.03453618106
62 8 180 0.0 6 0.0 equ n 1.47005120347
63 8 180 0.6 6 1.0 equ n 2.94009972392
64 8 0 0.6 6 1.5 comp right 0.67031467576
65 8 270 0.8 6 -0.5 comp down 1.0113940076
66 8 180 0.4 6 0.5 comp left 1.09371740853
67 8 90 0.4 6 0.5 comp down 0.882029648874
68 8 0 0.0 6 -0.5 comp left 1.37596698816
69 8 0 0.2 6 -0.5 equ m 1.79935055652
70 8 180 0.8 6 0.0 comp right 0.893759416912
71 8 270 0.6 6 -2.0 comp up 1.44650427769
72 8 180 0.0 6 2.0 comp left 0.646836741851
73 8 180 0.8 6 -1.0 equ n 0.917341988491
74 8 90 0.6 6 2.0 comp down 1.52884377672
75 8 180 0.8 6 0.5 comp left 0.705617049884
76 8 90 0.4 6 -0.5 equ n 1.811104855
77 8 90 0.0 6 -1.5 equ n 1.10544985958
78 8 270 0.8 6 0.0 comp down 2.41087457546
79 8 90 0.6 6 -0.5 comp up 0.976084350995
80 8 0 0.8 6 -1.5 comp left 0.729126030135
81 8 270 0.0 6 -1.0 equ n 1.14077408113
82 8 270 0.6 6 -1.0 comp down 0.846753721632
83 8 90 0.2 6 -2.0 comp up 0.693839754113
84 8 270 0.2 6 1.0 comp up 0.823229026567
85 8 180 0.4 6 0.5 equ m 1.9992932166
86 8 90 0.2 6 1.5 comp down 0.776181936165
87 8 180 0.2 6 -0.5 equ m 1.37594360758
88 8 270 0.0 6 1.5 equ n 0.740877262311
89 8 0 0.6 6 0.0 comp left 0.823240141924
90 8 0 0.6 6 -2.0 equ n 0.787908637898
91 8 270 0.8 6 0.5 equ n 1.38753999133
92 8 90 0.0 6 1.5 equ n 0.96435419967
93 8 90 0.2 6 1.5 equ n 0.776189601928
94 8 90 0.8 6 -1.5 comp up 0.79980130341
