trial size orLarge phase dur orSmall task response rt
1 8 180 0.4 6 1.0 comp left 0.729134510766
2 8 0 0.0 6 0.5 equ n 0.811474979419
3 8 270 0.0 6 1.0 equ n 0.917284679803
4 8 90 0.4 6 -0.5 equ m 2.29322933056
5 8 180 0.2 6 1.0 equ n 0.776202140813
6 8 0 0.4 6 -1.0 equ m 0.905512118858
7 8 180 0.6 6 -1.5 comp right 0.77620099092
8 8 270 0.2 6 -2.0 comp down 1.39949092251
9 8 0 0.4 6 0.5 comp right 1.28164457867
10 8 0 0.6 6 0.0 equ m 0.929057624046
11 8 180 0.8 6 -1.0 equ n 1.11722465756
12 8 270 0.6 6 1.5 equ n 1.62291929615
13 8 0 0.6 6 0.0 comp right 0.987851820973
14 8 90 0.4 6 2.0 equ n 1.43473808112
15 8 90 0.4 6 -0.5 comp up 0.96431973073
16 8 90 0.0 6 2.0 equ n 0.999635497137
17 8 270 0.2 6 0.5 comp up 1.75230171485
18 8 180 0.6 6 2.0 equ n 1.35235775093
19 8 180 0.2 6 -2.0 comp right 0.893730742391
20 8 180 0.2 6 1.5 comp left 0.646814356151
21 8 270 0.4 6 -1.0 equ m 1.1289784376
22 8 270 0.6 6 1.0 comp up 0.846739769098
23 8 90 0.8 6 2.0 equ n 1.18780061425
24 8 90 0.6 6 0.5 comp down 0.823237575009
25 8 180 0.0 6 1.0 comp left 0.78790417753
26 8 90 0.6 6 -2.0 comp up 0.729110747168
27 8 180 0.2 6 0.0 equ n 1.15250171232
28 8 90 0.2 6 2.0 comp down 0.823205379158
29 8 270 0.0 6 2.0 equ n 1.28183468743
30 8 90 0.4 6 -1.5 equ n 1.8345931232
31 8 270 0.0 6 0.5 equ n 1.39948402339
32 8 270 0.6 6 -1.0 comp down 0.835005919798
33 8 180 0.0 6 -1.0 comp right 0.952558285004
34 8 0 0.8 6 2.0 comp right 0.740875259158
35 8 270 0.8 6 -0.5 comp down 0.846720221627
36 8 0 0.8 6 1.5 equ n 0.85849699867
37 8 270 0.2 6 -1.5 comp down 0.811487627798
38 8 270 0.8 6 -1.0 comp down 0.823229142756
39 8 90 0.2 6 -1.5 comp up 0.811458114942
40 8 270 0.8 6 2.0 comp up 0.787921042036
41 8 90 0.8 6 -0.5 equ n 2.1403715476
42 8 270 0.2 6 2.0 comp up 1.64641190818
43 8 180 0.8 6 -0.5 equ m 1.0819215395
44 8 270 0.6 6 2.0 comp up 0.976076193765
45 8 180 0.0 6 -1.5 comp right 0.740897489624
46 8 0 0.6 6 -1.5 equ n 2.25796300775
47 8 270 0.0 6 -1.0 equ m 1.1995494116
48 8 0 0.0 6 -1.5 comp left 0.799682487705
49 8 90 0.4 6 -1.5 comp up 0.917113735224
50 8 180 0.4 6 -1.5 comp right 1.09370138287
51 8 90 0.0 6 -1.5 equ n 3.98671998398
52 8 90 0.0 6 -1.0 equ n 5.9153395147
53 8 180 0.2 6 -0.5 comp right 1.10549924054
54 8 90 0.6 6 -0.5 comp up 1.02315723873
55 8 90 0.2 6 0.5 equ m 1.82282324525
56 8 180 0.6 6 0.0 equ m 1.08196063444
57 8 90 0.0 6 -0.5 equ m 0.776174544386
58 8 0 0.0 6 0.0 equ n 0.964370707457
59 8 180 0.0 6 0.0 equ n 2.12864881358
60 8 180 0.4 6 2.0 equ n 0.882007241744
61 8 270 0.8 6 2.0 equ n 0.952590480854
62 8 0 0.2 6 -2.0 comp left 1.51705593607
63 8 270 0.2 6 0.5 equ n 1.44651562476
64 8 90 0.2 6 0.0 equ m 0.917278547277
65 8 180 0.4 6 -0.5 equ m 1.01141649031
66 8 270 0.0 6 2.0 comp up 0.740859927813
67 8 0 0.8 6 2.0 equ n 0.811413270741
68 8 180 0.8 6 -1.5 equ m 1.63467422605
69 8 0 0.0 6 -2.0 comp left 1.04666633194
70 8 270 0.2 6 1.0 equ n 2.01104317192
71 8 180 0.0 6 -2.0 equ n 2.49320572027
72 8 270 0.4 6 0.0 comp up 0.940777675103
73 8 90 0.0 6 2.0 comp down 0.823228759458
74 8 180 0.6 6 1.0 equ n 1.42298085152
75 8 270 0.2 6 1.5 comp up 0.658563153469
76 8 0 0.4 6 1.0 comp right 0.799698968913
77 8 270 0.4 6 2.0 comp up 1.08194147027
78 8 90 0.6 6 0.0 equ n 0.999631664308
79 8 270 0.0 6 -1.5 comp down 0.882037521194
80 8 0 0.0 6 2.0 comp right 0.776153847051
81 8 270 0.8 6 0.5 equ n 1.04667859702
82 8 90 0.6 6 -2.0 equ m 1.28189486297
