trial size orLarge phase dur orSmall task response rt
1 8 90 0.6 6 -1.5 comp up 1.74052984788
2 8 0 0.4 6 1.0 equ n 1.03499177658
3 8 270 0.2 6 2.0 comp up 1.02316968141
4 8 270 0.6 6 0.5 equ m 1.37595903125
5 8 0 0.8 6 -1.0 comp left 1.39944415762
6 8 0 0.8 6 1.0 equ n 0.870254383554
7 8 0 0.8 6 0.5 comp right 1.02313748532
8 8 180 0.8 6 -1.5 equ n 1.44650563259
9 8 90 0.8 6 2.0 equ n 0.858491697818
10 8 0 0.0 6 -1.0 comp right 2.10507536758
11 8 90 0.0 6 -1.5 equ n 0.917299760485
12 8 90 0.6 6 -0.5 comp up 1.92867302693
13 8 90 0.4 6 0.5 comp down 1.23479147095
14 8 180 0.2 6 -1.5 comp right 1.08195283044
15 8 180 0.6 6 0.5 comp left 0.776147148365
16 8 180 0.8 6 -1.0 comp right 0.893891291457
17 8 90 0.4 6 2.0 comp down 1.68170108773
18 8 90 0.0 6 2.0 comp down 0.917289028456
19 8 270 0.0 6 2.0 equ n 2.25795501977
20 8 0 0.4 6 -1.5 comp left 1.02316584854
21 8 270 0.4 6 -1.0 comp down 1.49354679337
22 8 180 0.6 6 1.0 equ n 2.44610241498
23 8 90 0.6 6 -2.0 comp up 0.952574785943
24 8 270 0.6 6 -1.0 comp down 2.25798376628
25 8 270 0.0 6 1.0 comp down 1.78754111229
26 8 180 0.6 6 1.5 equ n 1.43474333014
27 8 270 0.2 6 1.0 comp up 1.4935314619
28 8 0 0.0 6 1.5 comp right 1.1995854371
29 8 180 0.0 6 2.0 comp left 1.31711915579
30 8 90 0.0 6 -1.5 comp up 1.30537410124
31 8 180 0.0 6 -1.5 comp right 0.870212222016
32 8 90 0.6 6 1.5 comp down 1.49353912763
33 8 0 0.8 6 -2.0 comp left 0.799656805083
34 8 180 0.2 6 -1.0 equ m 0.940844679578
35 8 90 0.2 6 -1.0 equ n 1.37592721845
36 8 0 0.6 6 0.0 equ n 1.29364974418
37 8 270 0.2 6 2.0 equ n 0.976087892242
38 8 270 0.2 6 -1.5 comp down 1.07019512743
39 8 270 0.6 6 1.5 comp up 0.717349434442
40 8 0 0.8 6 -0.5 comp left 1.59939831653
41 8 0 0.6 6 -0.5 comp left 1.01137939903
42 8 90 0.6 6 0.0 comp up 0.834987790402
43 8 180 0.4 6 -0.5 equ m 1.62288804234
44 8 180 0.0 6 -0.5 comp left 2.23443424774
45 8 0 0.4 6 -1.5 equ m 1.23480756899
46 8 90 0.8 6 -1.0 equ n 1.57589057624
47 8 180 0.4 6 -2.0 equ n 0.987835629796
48 8 90 0.0 6 1.0 equ m 0.893784737753
49 8 0 0.6 6 1.5 comp right 0.823184092988
50 8 270 0.2 6 1.0 equ m 10.5019212246
51 8 270 0.0 6 -1.5 equ n 1.09370976687
52 8 0 0.4 6 -2.0 comp left 0.999597548958
53 8 180 0.0 6 2.0 equ n 3.66922740515
54 8 0 0.2 6 0.0 equ m 0.776178961162
55 8 180 0.4 6 2.0 equ n 1.04665595764
56 8 0 0.8 6 -1.5 comp left 0.882030484325
57 8 270 0.2 6 0.0 equ m 2.85774850489
58 8 270 0.8 6 0.5 comp up 1.70523834109
59 8 0 0.0 6 2.0 comp right 0.670323605133
60 8 270 0.2 6 0.0 comp up 1.6817018543
61 8 0 0.6 6 -1.0 equ m 0.764454987384
62 8 270 0.4 6 -0.5 comp up 3.5280498794
63 8 180 0.4 6 1.0 comp left 0.776174745009
64 8 0 0.8 6 -1.0 equ m 0.717367448917
65 8 270 0.6 6 -1.5 equ n 2.94003326162
66 8 90 0.2 6 -1.5 comp up 0.752667388013
67 8 90 0.6 6 1.0 comp down 1.18781201934
68 8 180 0.6 6 2.0 comp left 0.811481966552
69 8 180 0.4 6 -2.0 comp right 1.11722593946
70 8 90 0.2 6 -1.0 comp up 1.16428664786
71 8 90 0.2 6 0.5 equ m 1.90513998972
72 8 90 0.2 6 0.5 comp down 3.17529042592
73 8 180 0.8 6 0.0 comp right 0.987859010285
74 8 180 0.8 6 0.0 equ m 1.25834788865
75 8 180 0.4 6 -1.0 equ n 2.64603970927
76 8 0 0.2 6 1.0 comp right 0.870292712225
77 8 270 0.6 6 -1.5 comp down 1.90520208217
78 8 0 0.0 6 -1.0 equ m 0.905565821251
79 8 0 0.6 6 0.5 equ n 1.05841404393
80 8 90 0.2 6 1.0 comp down 1.29362789683
81 8 180 0.6 6 1.0 comp left 0.787949312632
82 8 180 0.8 6 2.0 comp left 1.48181438728
83 8 180 0.8 6 2.0 equ n 0.905537458035
84 8 0 0.2 6 2.0 comp right 1.91692030664
85 8 90 0.2 6 1.5 comp down 0.881977207473
86 8 90 0.6 6 1.5 equ n 1.5993703366
87 8 90 0.4 6 1.5 equ n 0.858475599777
88 8 90 0.2 6 -2.0 equ m 1.25835938725
89 8 270 0.2 6 0.5 equ m 1.86990980881
90 8 90 0.8 6 -1.5 equ m 2.16390374444
91 8 90 0.6 6 0.0 equ m 0.776197742211
92 8 180 0.2 6 0.0 equ m 1.32893281866
93 8 90 0.0 6 2.0 equ n 0.834958660612
94 8 270 0.4 6 -0.5 equ m 1.18777867339
95 8 180 0.4 6 1.5 comp left 1.28187172697
96 8 270 0.0 6 1.0 equ n 0.964353953008
97 8 180 0.8 6 1.0 comp left 1.30536145278
98 8 90 0.8 6 1.0 equ n 0.976104373569
99 8 0 0.6 6 -1.5 equ m 1.05842285953
100 8 270 0.4 6 1.5 comp up 1.56408611226
101 8 90 0.0 6 0.5 equ m 0.823191375435
102 8 0 0.0 6 0.5 comp right 0.870250167401
103 8 270 0.6 6 1.0 comp up 2.75191882907
104 8 90 0.4 6 -1.5 equ n 1.62287654374
105 8 0 0.2 6 1.0 equ n 0.987891206369
106 8 180 0.0 6 1.0 equ n 0.893756757824
107 8 90 0.2 6 1.0 equ n 0.823180643409
108 8 90 0.8 6 0.5 equ m 0.658534855901
109 8 90 0.4 6 1.0 comp down 2.05805145471
110 8 270 0.8 6 -1.0 comp down 1.70523757452
111 8 90 0.2 6 2.0 comp down 0.976074477207
112 8 180 0.8 6 -1.0 equ m 1.26991854774
113 8 90 0.4 6 2.0 equ n 2.26974223586
114 8 180 0.2 6 1.0 comp left 1.17605239989
115 8 270 0.8 6 1.5 comp up 0.976116638744
116 8 90 0.0 6 1.5 comp down 1.04669773589
117 8 180 0.4 6 1.0 equ n 1.66994836745
118 8 90 0.2 6 2.0 equ n 2.01098959645
119 8 90 0.8 6 -2.0 equ n 1.17603591856
120 8 0 0.6 6 2.0 comp right 0.917297460765
121 8 0 0.8 6 1.5 comp right 0.682079008422
122 8 0 0.0 6 -0.5 comp right 1.03489633819
123 8 90 0.4 6 -1.0 equ n 1.75229023389
124 8 180 0.2 6 1.5 comp left 0.65855823639
125 8 180 0.2 6 -1.0 comp left 5.25681742483
126 8 180 0.2 6 2.0 equ n 0.670337020168
127 8 180 0.6 6 2.0 equ n 0.705612045628
128 8 90 0.8 6 -2.0 comp up 1.0702162082
129 8 0 0.8 6 2.0 comp right 0.823223188232
130 8 90 0.8 6 1.5 equ n 1.56409952729
131 8 270 0.8 6 -1.5 comp down 1.04668355428
132 8 0 0.6 6 1.0 comp right 0.823214372638
133 8 0 0.8 6 -0.5 equ m 0.776178961163
134 8 90 0.4 6 1.0 equ m 2.15212496066
135 8 180 0.0 6 -1.5 equ m 1.09370440086
136 8 90 0.0 6 0.0 equ m 0.635031331772
137 8 180 0.0 6 -1.0 comp right 1.51707791414
138 8 90 0.8 6 0.0 equ m 1.43485065042
139 8 0 0.8 6 0.5 equ n 1.04668738715
140 8 180 0.6 6 0.5 equ n 0.999573401896
141 8 90 0.4 6 -1.0 comp up 1.43475291231
142 8 180 0.8 6 0.5 equ n 1.30538751628
143 8 180 0.0 6 0.0 comp left 1.6111541031
144 8 180 0.6 6 1.5 comp left 0.740882088361
145 8 270 0.4 6 1.0 comp up 1.62289149192
146 8 270 0.0 6 -2.0 equ n 1.08194018198
147 8 270 0.4 6 2.0 comp up 2.03451228491
148 8 180 0.0 6 -2.0 comp right 0.776139482632
149 8 180 0.6 6 -1.0 equ m 1.39945833923
150 8 90 0.8 6 -0.5 equ m 1.29363096313
151 8 90 0.2 6 1.5 equ n 0.787940880326
152 8 270 0.6 6 -2.0 equ m 0.834994306276
153 8 270 0.4 6 1.0 equ n 0.882058080968
154 8 270 0.2 6 0.5 comp up 1.92865002972
155 8 270 0.2 6 -1.0 comp down 1.38774088132
156 8 0 0.2 6 -0.5 comp right 1.83458763908
157 8 270 0.8 6 1.0 equ n 0.893772472579
158 8 180 0.2 6 -2.0 equ n 0.97607869336
159 8 90 0.8 6 -1.5 comp up 0.917284812303
160 8 90 0.0 6 -0.5 comp up 0.611532790369
161 8 0 0.2 6 -0.5 equ m 2.36380730951
162 8 90 0.6 6 -1.0 equ n 0.599799617709
163 8 180 0.0 6 1.5 comp left 0.870225637052
164 8 180 0.6 6 -0.5 comp right 1.18779975416
165 8 270 0.8 6 2.0 comp up 0.705619328075
166 8 270 0.6 6 1.0 equ n 2.17565876444
167 8 90 0.4 6 0.0 equ m 1.15248563346
168 8 0 0.2 6 -1.0 equ m 0.717349434442
169 8 270 0.6 6 0.0 equ m 0.74091236801
170 8 90 0.6 6 -2.0 equ n 0.787938580605
171 8 0 0.6 6 -1.0 comp left 0.940822832235
172 8 0 0.2 6 1.5 equ n 1.07018516198
173 8 270 0.4 6 0.0 equ m 4.96283307136
174 8 90 0.2 6 -0.5 equ m 0.717377414371
175 8 0 0.2 6 -1.0 comp left 1.01135103581
176 8 0 0.2 6 0.5 comp right 0.811481583265
177 8 270 0.0 6 0.5 equ n 1.02314208476
178 8 0 0.2 6 -1.5 comp left 0.776178577876
179 8 180 0.8 6 -1.5 comp right 0.84670716474
180 8 270 0.6 6 0.5 comp up 1.04662414484
181 8 90 0.4 6 0.0 comp up 1.70523565808
182 8 90 0.2 6 -0.5 comp up 0.89374679237
183 8 270 0.0 6 0.5 comp up 2.71661888998
184 8 90 0.0 6 0.5 comp down 1.08197199477
185 8 180 0.4 6 0.0 equ n 2.76364778558
186 8 0 0.4 6 1.5 equ n 0.776206174519
187 8 270 0.2 6 -2.0 equ n 1.47000340742
188 8 180 0.6 6 -1.5 comp right 1.08193634911
189 8 270 0.6 6 -0.5 comp down 1.72879514207
190 8 180 0.2 6 -0.5 equ m 1.77558295033
191 8 180 0.0 6 -2.0 equ n 2.55197501891
192 8 180 0.4 6 0.5 comp left 1.66998822927
193 8 0 0.4 6 -0.5 comp left 3.90441481127
194 8 180 0.2 6 -0.5 comp right 1.09372739806
195 8 0 0.0 6 1.0 equ n 0.670347752196
196 8 0 0.0 6 -1.5 comp left 0.79968861788
197 8 270 0.4 6 -1.5 comp down 1.11730719625
198 8 90 0.4 6 1.5 comp down 0.976107439863
199 8 90 0.4 6 -0.5 comp up 2.64603970927
200 8 270 0.2 6 -1.0 equ n 0.811472384385
201 8 0 0.4 6 -2.0 equ n 0.752674287172
202 8 180 0.6 6 -2.0 comp right 0.987886606928
203 8 180 0.2 6 2.0 comp left 0.846771556907
204 8 270 0.8 6 0.0 equ m 1.15250518108
205 8 270 0.6 6 -1.0 equ m 0.658450916113
206 8 0 0.8 6 -2.0 equ n 0.764431606895
207 8 0 0.8 6 2.0 equ n 0.823200574317
208 8 180 0.4 6 2.0 comp left 0.752688468781
209 8 270 0.8 6 -0.5 comp down 2.3520553558
210 8 90 0.8 6 -1.0 comp up 0.83500082215
211 8 270 0.0 6 -2.0 comp down 0.69385664234
212 8 270 0.6 6 -2.0 comp down 0.611528190929
213 8 90 0.6 6 2.0 comp down 2.24623449557
214 8 90 0.4 6 0.5 equ n 3.19876673669
215 8 90 0.8 6 2.0 comp down 2.63425862577
216 8 0 0.0 6 1.5 equ n 3.4222888119
217 8 90 0.6 6 0.5 equ n 0.635025965757
218 8 90 0.0 6 -1.0 equ m 0.905523659713
219 8 90 0.0 6 -1.0 comp down 2.18742834934
220 8 270 0.4 6 0.5 equ m 2.70488380089
221 8 180 0.6 6 -1.5 equ n 0.787939730465
222 8 0 0.0 6 0.0 comp right 0.870250167401
223 8 180 0.6 6 0.0 equ n 1.5758859768
224 8 180 0.4 6 0.5 equ n 1.05842477596
225 8 90 0.6 6 -0.5 equ m 1.9992706054
226 8 180 0.4 6 -1.5 equ n 0.858488631525
227 8 0 0.0 6 2.0 equ n 0.705615111921
228 8 180 0.8 6 -0.5 comp left 2.175651482
229 8 0 0.4 6 1.0 comp right 0.7879531455
230 8 180 0.4 6 0.0 comp left 0.7408866878
231 8 90 0.0 6 -0.5 equ m 1.25832374158
232 8 270 0.2 6 -0.5 comp down 1.2465940185
233 8 0 0.4 6 -1.0 equ m 1.15250288136
234 8 270 0.0 6 1.5 equ n 0.799729246271
235 8 0 0.4 6 0.5 comp right 0.776182794029
236 8 0 0.6 6 0.5 comp right 0.682146083595
237 8 270 0.2 6 -0.5 equ n 1.31712298865
238 8 0 0.8 6 0.0 equ n 1.24659555165
239 8 0 0.2 6 -2.0 equ n 1.36419059621
240 8 270 0.4 6 2.0 equ n 1.17603438542
241 8 0 0.0 6 1.0 comp right 0.752666621438
242 8 180 0.2 6 0.5 comp left 0.882037766772
243 8 0 0.8 6 1.5 equ n 1.99923457645
244 8 180 0.0 6 -0.5 equ m 0.905559305377
245 8 0 0.4 6 2.0 comp right 0.670334720448
246 8 180 0.2 6 1.0 equ n 4.97457314318
247 8 180 0.8 6 -2.0 comp right 0.705615495208
248 8 90 0.8 6 0.0 comp down 1.85812489244
249 8 270 0.0 6 -1.0 comp down 2.8459904186
250 8 270 0.8 6 0.5 equ m 0.83500312187
251 8 90 0.0 6 1.0 comp down 0.834998522429
252 8 270 0.8 6 -1.0 equ m 1.29358880159
253 8 270 0.8 6 1.5 equ m 0.658574334432
254 8 180 0.8 6 1.5 equ n 0.740896653255
255 8 270 0.8 6 -2.0 comp down 0.78791711655
256 8 0 0.0 6 0.5 equ m 1.66996216577
257 8 180 0.4 6 1.5 equ n 0.65855248709
258 8 180 0.0 6 -1.0 equ m 1.01135985141
259 8 270 0.4 6 -2.0 equ n 0.893756374537
260 8 0 0.0 6 -2.0 equ n 1.54036181498
261 8 90 0.4 6 -2.0 comp up 0.658574334432
262 8 90 0.8 6 0.5 comp up 1.90515263818
263 8 180 0.0 6 0.5 equ m 0.964337471681
264 8 0 0.4 6 0.0 comp left 1.36417526475
265 8 0 0.8 6 0.0 comp right 1.27011517382
266 8 0 0.4 6 -1.0 comp left 1.27012053984
267 8 270 0.8 6 0.0 comp down 1.03493964959
268 8 180 0.2 6 1.5 equ n 1.52883753358
269 8 90 0.6 6 -1.0 comp up 1.55239203484
270 8 180 0.8 6 -0.5 equ m 0.752659338991
271 8 180 0.4 6 -1.0 comp right 1.59939410037
272 8 270 0.4 6 0.0 comp up 1.15251629639
273 8 270 0.4 6 0.5 comp up 0.729110970317
274 8 270 0.0 6 -0.5 equ m 1.99926907225
275 8 180 0.2 6 -1.5 equ n 0.964387682238
276 8 90 0.2 6 0.0 equ m 1.09369865156
277 8 180 0.8 6 1.5 comp left 1.10549315009
278 8 180 0.8 6 1.0 equ n 0.787939347179
279 8 0 0.2 6 -2.0 comp right 2.17562618507
280 8 90 0.2 6 -2.0 comp up 0.623316173587
281 8 270 0.6 6 0.0 comp down 2.163899145
282 8 270 0.0 6 -1.0 equ n 0.752637874936
283 8 270 0.4 6 -2.0 comp down 0.717365149197
284 8 90 0.2 6 -1.5 equ n 0.987882390774
285 8 270 0.8 6 -1.5 equ n 0.893764040271
286 8 90 0.6 6 -1.5 equ n 0.952576702378
287 8 270 0.6 6 2.0 equ n 1.25836551984
288 8 0 0.6 6 2.0 equ n 0.717364382623
289 8 270 0.6 6 2.0 comp up 0.999628978468
290 8 180 0.0 6 0.5 comp left 0.776147914939
291 8 0 0.4 6 2.0 equ n 1.23485662969
292 8 90 0.4 6 -2.0 equ n 1.03492738442
293 8 0 0.8 6 1.0 comp right 1.34066982418
294 8 90 0.4 6 -1.5 comp up 1.75228371802
295 8 0 0.2 6 2.0 equ n 1.63474003387
296 8 180 0.4 6 -0.5 comp right 2.30502224404
297 8 180 0.0 6 0.0 equ n 2.76363782013
298 8 0 0.6 6 1.0 equ n 0.787938197318
299 8 270 0.4 6 1.5 equ n 4.35130526371
300 8 0 0.6 6 -2.0 comp left 2.55196160387
301 8 270 0.6 6 -0.5 equ n 0.94080021832
302 8 270 0.4 6 -1.5 equ n 1.07020662603
303 8 0 0.6 6 -0.5 equ m 0.999658108258
304 8 270 0.8 6 2.0 equ n 2.46964580092
305 8 180 0.2 6 -2.0 comp right 1.11721022471
306 8 90 0.6 6 0.5 comp down 6.52694026438
307 8 270 0.2 6 1.5 comp up 0.83500312187
308 8 0 0.2 6 -1.5 equ n 0.952588584266
309 8 180 0.8 6 -2.0 equ n 0.846756225438
310 8 270 0.0 6 0.0 equ m 0.834997372569
311 8 270 0.4 6 -1.0 equ m 0.846808735717
312 8 0 0.8 6 -1.5 equ m 1.02313403574
313 8 0 0.0 6 -2.0 comp left 1.69348217123
314 8 270 0.0 6 -0.5 comp down 1.22307209661
315 8 180 0.2 6 0.0 comp left 1.86992130741
316 8 0 0.2 6 1.5 comp right 0.65858161688
317 8 0 0.6 6 -1.5 comp left 1.23485969598
318 8 0 0.4 6 1.5 comp right 0.740897803115
319 8 270 0.0 6 1.5 comp up 0.846710614321
320 8 270 0.0 6 -1.5 comp down 0.870260899428
321 8 90 0.0 6 1.5 equ n 3.01061550862
322 8 0 0.4 6 0.5 equ n 0.823218972078
323 8 180 0.0 6 1.5 equ n 2.65782117605
324 8 180 0.2 6 0.5 equ n 0.740922333465
325 8 270 0.0 6 2.0 comp up 1.0819712282
326 8 90 0.8 6 1.5 comp down 0.729117486191
327 8 0 0.4 6 -0.5 equ m 0.964345137414
328 8 90 0.8 6 -0.5 comp up 1.15249253262
329 8 90 0.8 6 1.0 comp down 0.964313324617
330 8 0 0.4 6 0.0 equ n 1.05840024561
331 8 90 0.0 6 -2.0 comp up 1.11722248988
332 8 270 0.8 6 1.0 comp up 1.03490630365
333 8 270 0.2 6 -1.5 equ n 1.59937186974
334 8 90 0.0 6 -2.0 equ n 0.799698583333
335 8 180 0.6 6 -1.0 comp right 1.01138361518
336 8 270 0.2 6 -2.0 comp down 1.35243825922
337 8 0 0.0 6 -1.5 equ n 1.66995143374
338 8 180 0.8 6 0.5 comp left 1.35241947817
339 8 90 0.6 6 1.0 equ n 1.71698876165
340 8 0 0.0 6 0.0 equ n 0.917322374399
341 8 0 0.6 6 -2.0 equ m 1.27008681061
342 8 0 0.2 6 0.5 equ n 0.799698583333
343 8 90 0.6 6 2.0 equ n 0.846755458865
344 8 0 0.0 6 -0.5 equ m 0.964320990352
345 8 90 0.4 6 -0.5 equ m 0.97607409392
346 8 90 0.0 6 0.0 comp up 2.68132470018
347 8 0 0.2 6 0.0 comp left 1.27011095767
348 8 180 0.4 6 -1.5 comp right 0.717393512412
349 8 270 0.8 6 -2.0 equ n 0.693834028423
350 8 270 0.0 6 0.0 comp up 1.32890292229
351 8 180 0.6 6 -2.0 equ n 1.65820561262
352 8 0 0.6 6 0.0 comp right 1.95200062246
353 8 0 0.6 6 1.5 equ n 1.78756755907
354 8 180 0.0 6 1.0 comp left 0.882060380688
355 8 270 0.2 6 1.5 equ n 1.75225228851
356 8 270 0.8 6 -0.5 equ n 2.54021041674
357 8 180 0.6 6 -0.5 equ m 1.63470515478
358 8 90 0.2 6 0.0 comp up 1.24660321739
359 8 180 0.6 6 0.0 comp right 1.99927482155
360 8 270 0.6 6 1.5 equ n 0.870291562365
