trial size orLarge phase dur orSmall task response rt
1 8 90 0.2 6 -1.0 equ n 2.28146398096
2 8 180 0.4 6 0.0 equ n 1.58764794331
3 8 270 0.6 6 -1.0 equ n 0.929082648946
4 8 180 0.4 6 -1.5 comp right 0.870197388064
5 8 90 0.0 6 1.5 equ m 1.58764219403
6 8 180 0.6 6 -1.0 comp right 0.729164135387
7 8 90 0.2 6 1.0 comp down 0.764399547263
8 8 180 0.4 6 -0.5 comp left 1.28187026331
9 8 0 0.6 6 -0.5 comp right 0.976115197145
10 8 270 0.6 6 0.5 equ n 3.03412081841
11 8 0 0.2 6 -1.0 equ m 0.811455475862
12 8 90 0.2 6 0.0 equ m 2.09331040777
13 8 270 0.8 6 0.0 comp down 1.27011797136
14 8 90 0.4 6 -1.5 comp up 0.858484574494
15 8 180 0.4 6 -2.0 comp right 0.670288456637
16 8 0 0.0 6 -2.0 comp left 0.752616592495
17 8 180 0.8 6 -0.5 comp right 0.787954724815
18 8 90 0.8 6 0.5 comp up 0.787921762284
19 8 0 0.8 6 -2.0 comp left 0.670309537325
20 8 90 0.8 6 -1.0 comp up 0.776173686472
21 8 270 0.2 6 1.5 equ n 0.717380414048
22 8 90 0.6 6 2.0 equ n 2.17566729002
23 8 0 0.6 6 0.0 equ n 2.022733414
24 8 0 0.0 6 -1.0 equ m 0.846768311356
25 8 0 0.4 6 -1.0 comp right 0.846735348826
26 8 180 0.4 6 -0.5 equ n 2.19919333789
27 8 90 0.6 6 0.0 equ m 1.35242962596
28 8 0 0.2 6 0.0 equ n 0.929066934251
29 8 180 0.8 6 1.0 comp left 0.5997704888
30 8 270 0.8 6 0.5 comp up 0.682074094402
31 8 270 0.0 6 -1.0 equ m 0.905530537676
32 8 90 0.0 6 -2.0 comp up 0.976074952195
33 8 270 0.2 6 1.0 comp up 0.611529679884
34 8 0 0.2 6 -0.5 comp right 0.752641506035
35 8 90 0.2 6 0.0 comp down 1.28186336418
36 8 90 0.0 6 -1.5 comp up 0.740855868269
37 8 90 0.4 6 1.5 comp down 0.799720815033
38 8 180 0.6 6 -0.5 comp left 0.964337225084
39 8 270 0.2 6 2.0 comp up 0.787910263727
40 8 270 0.8 6 0.5 equ m 1.77581914763
41 8 0 0.4 6 -1.0 equ m 0.776173303187
42 8 0 0.6 6 2.0 comp right 0.729112008595
43 8 180 0.4 6 2.0 comp left 0.658583308771
44 8 0 0.6 6 0.5 comp right 0.705597842564
45 8 0 0.8 6 0.5 comp right 0.68206221256
46 8 0 0.0 6 1.0 equ n 0.893796260133
47 8 90 0.0 6 2.0 equ n 0.964337225084
48 8 90 0.8 6 1.5 comp down 0.905517889264
49 8 0 0.8 6 -0.5 equ n 0.823242263483
50 8 0 0.0 6 0.5 equ n 3.586866808
51 8 270 0.4 6 -1.0 equ n 3.37519140307
52 8 0 0.2 6 -2.0 equ n 2.22269370565
53 8 180 0.2 6 -2.0 comp right 0.599796168911
54 8 270 0.4 6 0.0 equ m 0.811426729469
55 8 90 0.0 6 -1.0 comp up 0.882051250602
