trial size orLarge phase dur orSmall task response rt
1 8 270 0.2 6 1.0 equ n 1.0584581219
2 8 180 0.4 6 0.5 equ n 0.787959661374
3 8 90 0.2 6 -1.5 equ n 0.799698583334
4 8 180 0.2 6 -1.5 comp left 0.905545123769
5 8 0 0.2 6 0.0 equ n 1.16424295318
6 8 270 0.8 6 0.0 equ n 0.717373581504
7 8 180 0.8 6 -1.5 comp left 0.70560016374
8 8 180 0.4 6 -0.5 equ n 1.3406376281
9 8 270 0.8 6 -0.5 equ n 1.63465149465
10 8 180 0.4 6 -1.0 comp left 1.38768837104
11 8 0 0.4 6 1.0 comp left 0.658564752264
12 8 270 0.0 6 -1.0 equ n 1.18775720934
13 8 180 0.8 6 2.0 comp left 3.61040631074
14 8 180 0.2 6 0.0 equ n 0.987857093852
15 8 270 0.8 6 -1.0 equ n 1.32894355068
16 8 0 0.4 6 -1.5 equ n 2.48138625603
17 8 90 0.8 6 -2.0 equ n 1.10546823646
18 8 180 0.4 6 1.0 comp left 0.740891287242
19 8 180 0.6 6 2.0 comp left 1.49354449365
20 8 180 0.4 6 -2.0 comp right 0.717411526888
21 8 180 0.2 6 -0.5 equ n 1.05844509015
22 8 270 0.8 6 2.0 comp up 2.92831772015
23 8 270 0.6 6 -0.5 comp down 0.881994455374
24 8 90 0.6 6 -1.0 equ n 1.03493198386
25 8 90 0.4 6 0.0 equ n 1.75228908403
26 8 90 0.4 6 1.5 comp down 2.14037109052
27 8 270 0.6 6 -1.0 equ n 1.3524244609
28 8 180 0.2 6 -1.0 comp right 0.811486182706
29 8 0 0.0 6 -0.5 comp left 1.17602518654
30 8 0 0.6 6 2.0 equ n 0.717371281784
31 8 0 0.6 6 0.0 equ n 1.57589210939
32 8 270 0.6 6 0.5 equ n 0.905516760553
33 8 180 0.6 6 -1.0 equ n 1.03492431812
34 8 180 0.0 6 -2.0 equ m 0.823221655085
35 8 0 0.2 6 -1.0 comp right 0.999625145601
36 8 180 0.4 6 -1.5 equ m 0.96423858371
37 8 90 0.0 6 1.5 equ n 0.952603532447
38 8 90 0.0 6 1.0 equ n 0.729121319058
39 8 180 0.2 6 -1.0 equ n 0.823218205505
40 8 90 0.4 6 -2.0 comp up 0.905510627966
41 8 270 0.6 6 1.5 equ n 0.976108206436
42 8 0 0.2 6 0.5 equ n 0.764416275427
43 8 180 0.6 6 -1.5 comp left 1.0231497505
44 8 270 0.6 6 0.0 comp up 1.19957623822
45 8 180 0.8 6 -2.0 comp right 1.1054755189
46 8 0 0.0 6 1.5 comp right 0.729135883953
47 8 180 0.6 6 -0.5 comp left 1.1524986652
48 8 90 0.6 6 -1.5 equ m 1.15251054709
49 8 270 0.0 6 1.5 comp up 0.693826745976
50 8 180 0.0 6 0.0 comp left 1.66994645101
51 8 0 0.4 6 -1.0 comp right 0.8583740288
52 8 0 0.4 6 2.0 equ n 0.658573567859
53 8 90 0.6 6 2.0 comp down 0.87026894845
54 8 270 0.2 6 0.0 equ n 0.799830817248
55 8 0 0.0 6 -2.0 comp right 1.23477077347
56 8 180 0.0 6 -0.5 equ n 0.693855109193
57 8 0 0.6 6 -1.0 comp right 1.65823014297
58 8 270 0.0 6 1.0 comp up 0.858526576909
59 8 270 0.8 6 -1.5 equ n 1.28179047019
60 8 0 0.8 6 0.5 comp right 1.2818767097
61 8 90 0.4 6 -1.5 equ n 1.44654894399
62 8 270 0.2 6 0.5 comp up 0.752666621439
63 8 0 0.0 6 0.0 comp right 0.71740194472
64 8 90 0.8 6 -0.5 comp down 1.64640574807
65 8 0 0.6 6 1.5 comp right 0.929117639505
66 8 90 0.2 6 1.0 comp down 0.905571570552
67 8 0 0.2 6 -2.0 comp left 0.717367832203
68 8 90 0.2 6 1.5 comp down 0.929086209996
69 8 270 0.2 6 -0.5 comp up 1.05842554253
70 8 270 0.0 6 2.0 comp up 0.693839011152
71 8 0 0.6 6 1.5 equ n 0.705716682899
72 8 0 0.8 6 -1.5 equ n 0.964364685036
73 8 90 0.6 6 1.0 equ n 0.682106988352
74 8 180 0.8 6 -0.5 comp left 0.658598864781
75 8 0 0.8 6 -2.0 equ n 0.940810567062
76 8 90 0.0 6 0.5 equ n 0.917308959365
77 8 0 0.6 6 -1.0 equ n 0.893774772299
78 8 270 0.0 6 0.0 comp up 0.740880171928
79 8 180 0.0 6 -1.0 equ n 0.68208859059
80 8 90 0.8 6 1.5 equ n 0.858509329007
81 8 0 0.4 6 -2.0 equ n 0.729124768639
82 8 270 0.4 6 -0.5 equ n 1.1406976508
83 8 270 0.4 6 0.0 equ n 0.65855823639
84 8 180 0.0 6 0.0 equ n 0.693880022829
