trial size orLarge phase dur orSmall task response rt
1 8 180 0.4 6 1.5 comp left 0.870270864883
2 8 180 0.0 6 0.0 comp right 1.8228349188
3 8 0 0.8 6 -2.0 equ n 2.49314549218
4 8 0 0.4 6 -2.0 equ n 1.24660743354
5 8 0 0.8 6 1.0 equ m 1.28189664061
6 8 180 0.2 6 2.0 comp left 0.882053864814
7 8 180 0.2 6 1.0 comp left 1.1995766215
8 8 0 0.4 6 0.5 equ m 1.24658366976
9 8 270 0.8 6 -2.0 comp down 1.65821979423
10 8 180 0.4 6 1.5 equ n 2.02279176072
11 8 0 0.6 6 -0.5 comp left 1.41119841105
12 8 270 0.8 6 -2.0 equ n 1.57587294506
13 8 270 0.2 6 -1.5 equ n 1.28186674424
14 8 90 0.8 6 2.0 equ n 1.37595634824
15 8 0 0.6 6 -2.0 equ n 1.44651713119
16 8 90 0.8 6 -1.0 comp up 1.22307056347
17 8 180 0.6 6 1.5 comp left 0.917287878596
18 8 90 0.2 6 0.5 equ m 1.19954710843
19 8 180 0.4 6 2.0 comp left 0.858483265511
20 8 0 0.2 6 -1.5 comp left 1.09369826827
21 8 270 0.6 6 -0.5 comp down 1.21130672787
22 8 0 0.8 6 -1.0 comp left 0.92905784678
23 8 0 0.4 6 0.0 comp right 1.76404065445
24 8 270 0.2 6 0.5 equ m 1.35242791048
25 8 0 0.2 6 -0.5 equ m 3.23407894096
26 8 270 0.4 6 -1.5 comp down 1.88170162433
27 8 0 0.6 6 1.0 comp right 1.36417104859
28 8 180 0.8 6 1.0 equ m 1.68169648829
29 8 180 0.2 6 1.5 equ m 1.41124210573
30 8 180 0.0 6 0.0 equ n 1.31714445271
31 8 0 0.6 6 -1.0 equ n 1.6582178778
32 8 180 0.0 6 1.0 comp left 0.92909157601
33 8 90 0.2 6 -1.5 equ n 1.79931874621
34 8 270 0.4 6 1.0 comp down 3.1399939364
35 8 90 0.8 6 1.5 comp down 1.093703251
36 8 0 0.0 6 -1.0 equ n 1.42301437363
37 8 270 0.0 6 2.0 equ n 1.505326727
38 8 90 0.6 6 2.0 comp down 0.999601765112
39 8 0 0.4 6 -1.5 equ n 1.34066024201
40 8 270 0.4 6 -0.5 comp down 1.3054154962
41 8 270 0.4 6 -1.5 equ n 1.42299904217
42 8 90 0.4 6 -1.0 equ m 1.1054697696
43 8 270 0.6 6 2.0 equ n 1.8463392095
44 8 180 0.8 6 0.5 comp left 1.08194784771
45 8 180 0.6 6 -1.0 equ m 1.22304143368
46 8 270 0.0 6 2.0 comp up 0.917276763282
47 8 270 0.4 6 -1.0 equ n 1.69347757179
48 8 180 0.8 6 2.0 comp left 0.846759675019
49 8 180 0.0 6 1.5 equ n 2.04628531939
50 8 0 0.4 6 0.0 equ m 1.11726580128
51 8 270 0.0 6 -1.0 comp down 0.952604682307
52 8 0 0.8 6 0.5 equ m 1.28187785956
53 8 180 0.4 6 -1.5 equ n 3.15175508899
54 8 180 0.8 6 -1.5 equ n 1.258372419
55 8 0 0.4 6 0.5 comp right 1.69346952277
56 8 270 0.2 6 -2.0 equ n 1.39944530748
57 8 90 0.0 6 0.5 equ m 1.18779170514
58 8 90 0.0 6 1.5 comp down 1.0584121275
59 8 180 0.0 6 0.5 equ m 1.24659018564
60 8 90 0.4 6 1.0 comp down 1.11723092219
61 8 270 0.6 6 0.0 equ m 1.32893856796
62 8 270 0.2 6 1.5 comp up 1.4464822521
63 8 270 0.6 6 1.0 comp up 1.01140891211
64 8 90 0.6 6 1.0 comp down 1.14072179786
65 8 90 0.0 6 -2.0 comp up 0.987884690494
66 8 90 0.4 6 2.0 comp down 0.893778221879
67 8 270 0.4 6 -1.0 comp down 0.905564671391
68 8 270 0.4 6 1.5 equ n 1.77578110956
69 8 0 0.4 6 1.0 comp right 1.21133317465
70 8 90 0.4 6 2.0 equ n 1.31715441817
71 8 180 0.8 6 -1.5 comp right 0.952574019371
72 8 180 0.0 6 2.0 equ n 1.42301897308
73 8 0 0.0 6 -2.0 equ n 1.32893511838
74 8 270 0.2 6 0.0 equ m 1.07018324554
75 8 90 0.2 6 2.0 equ n 2.03455099687
76 8 180 0.6 6 -0.5 comp right 1.07018017925
77 8 180 0.0 6 1.0 equ m 0.917296694191
78 8 180 0.0 6 0.5 comp left 1.55231384435
79 8 90 0.4 6 1.5 equ n 2.15214182528
80 8 180 0.4 6 0.5 comp left 1.39949015202
81 8 90 0.6 6 1.5 comp down 1.49355215938
82 8 180 0.2 6 0.5 equ m 1.23483746536
83 8 0 0.6 6 -2.0 comp left 0.987842528956
84 8 90 0.8 6 -2.0 comp up 1.17588911976
85 8 90 0.8 6 -0.5 comp up 1.2466143327
86 8 0 0.6 6 0.5 equ m 1.10544600583
87 8 90 0.6 6 -0.5 comp up 0.882032017472
88 8 0 0.6 6 -1.0 comp left 0.870257833135
89 8 270 0.2 6 -0.5 comp down 0.99964737623
90 8 270 0.0 6 -0.5 equ n 1.0819252338
91 8 0 0.6 6 2.0 comp right 0.999610963993
92 8 270 0.0 6 -1.5 comp down 0.85850434628
93 8 90 0.8 6 -1.5 comp up 1.11722248988
94 8 270 0.2 6 -0.5 equ n 1.75230249907
95 8 270 0.0 6 -0.5 comp down 1.55235562261
96 8 270 0.8 6 1.5 equ m 1.02312292043
97 8 0 0.2 6 -1.0 comp left 0.987865142872
98 8 180 0.2 6 -0.5 comp right 1.97569310693
99 8 90 0.0 6 -1.5 equ n 1.32893358523
100 8 270 0.6 6 1.5 equ m 0.999809506507
101 8 180 0.6 6 -1.5 equ n 2.25798184984
102 8 0 0.0 6 0.5 comp right 1.30533462271
103 8 0 0.6 6 -0.5 equ m 0.917328123701
104 8 180 0.0 6 -2.0 comp right 1.34067710663
105 8 270 0.6 6 -1.5 equ n 1.84635224125
106 8 0 0.0 6 -1.0 comp left 0.929275170342
107 8 270 0.2 6 0.0 comp up 2.46964158477
108 8 90 0.2 6 -2.0 comp up 0.882045432506
109 8 270 0.6 6 -1.0 equ n 1.69347488878
110 8 0 0.0 6 -0.5 comp left 0.929080843982
111 8 90 0.2 6 1.0 equ m 0.964365068323
112 8 270 0.8 6 -1.0 comp down 0.893799685935
113 8 270 0.4 6 2.0 comp up 0.893755224677
114 8 180 0.0 6 -1.0 equ m 0.834965559773
115 8 0 0.2 6 0.5 comp right 1.15251169695
116 8 180 0.2 6 0.5 comp left 1.37592645188
117 8 90 0.6 6 0.5 comp up 1.31700800264
118 8 180 0.6 6 -0.5 equ m 0.964316390911
119 8 0 0.6 6 2.0 equ n 1.34069857069
120 8 180 0.8 6 1.0 comp left 0.940793702446
121 8 270 0.4 6 -0.5 equ n 1.02314668421
122 8 0 0.8 6 -0.5 comp left 0.834983957535
123 8 180 0.6 6 -1.0 comp right 0.905474599015
124 8 90 0.0 6 -0.5 comp up 0.905534775028
125 8 0 0.8 6 0.0 equ m 0.929047498038
126 8 0 0.0 6 -1.5 equ n 1.09369711841
127 8 180 0.2 6 -0.5 equ n 4.70407966538
128 8 0 0.4 6 2.0 comp right 0.787924782284
129 8 270 0.8 6 -1.5 comp down 0.858482498937
130 8 90 0.4 6 0.0 equ n 1.08197736079
131 8 270 0.6 6 1.5 comp up 0.835004655017
132 8 270 0.8 6 -0.5 equ n 1.47005630098
133 8 270 0.6 6 -2.0 comp down 0.8937805216
134 8 270 0.8 6 -1.5 equ n 1.1760205871
135 8 180 0.2 6 1.0 equ m 1.45826946819
136 8 0 0.4 6 2.0 equ n 1.97576094868
137 8 270 0.0 6 0.0 comp down 0.929035999437
138 8 270 0.4 6 0.5 equ m 1.03487717386
139 8 0 0.0 6 0.5 equ m 1.04665250806
140 8 0 0.2 6 1.5 equ n 1.28192538711
141 8 90 0.0 6 1.5 equ n 1.35241411216
142 8 90 0.6 6 -1.0 equ n 0.952580918531
143 8 90 0.0 6 0.0 comp up 1.63467679157
144 8 180 0.4 6 -1.5 comp right 0.870242501666
145 8 270 0.2 6 -1.5 comp down 1.02316201567
146 8 270 0.0 6 -2.0 equ n 0.905550106496
147 8 270 0.4 6 -2.0 equ n 0.84674089397
148 8 90 0.0 6 0.0 equ m 0.976101690563
149 8 180 0.2 6 -2.0 equ n 0.976125071052
150 8 0 0.2 6 -2.0 equ n 1.49355752539
151 8 0 0.8 6 1.5 comp right 1.10547475233
152 8 0 0.6 6 1.5 equ m 0.870257066561
153 8 180 0.6 6 1.5 equ n 1.12884105982
154 8 270 0.4 6 0.5 comp up 1.25838238445
155 8 90 0.6 6 -0.5 equ m 1.08193481596
156 8 90 0.4 6 0.0 comp up 1.05843742442
157 8 90 0.8 6 1.0 equ m 0.893778221879
158 8 0 0.6 6 -1.5 equ n 3.70451162949
159 8 180 0.6 6 1.0 comp left 1.01140431267
160 8 270 0.4 6 0.0 comp down 1.58764482967
161 8 0 0.6 6 0.0 equ m 0.870270481596
162 8 90 0.0 6 -2.0 equ n 1.34066829104
163 8 0 0.2 6 2.0 equ n 1.07017251351
164 8 90 0.4 6 -2.0 equ n 1.12896869429
165 8 270 0.4 6 2.0 equ m 0.799653355503
166 8 90 0.6 6 -2.0 equ m 1.52883600043
167 8 90 0.4 6 1.0 equ m 0.952610048321
168 8 180 0.2 6 -1.0 comp right 0.835001205437
169 8 180 0.0 6 -1.5 equ n 1.10546172058
170 8 0 0.2 6 0.5 equ m 0.999596015811
