trial size orLarge phase dur orSmall task response rt
1 8 270 0.0 6 1.5 equ n 2.49311521253
2 8 270 0.6 6 1.5 equ n 0.752628676055
3 8 0 0.8 6 0.0 comp right 0.82320364061
4 8 270 0.2 6 1.0 comp up 1.1995191285
5 8 0 0.0 6 -0.5 equ n 0.823196358162
6 8 0 0.6 6 -2.0 comp left 0.976093641541
7 8 180 0.6 6 1.0 equ n 1.47003062078
8 8 90 0.0 6 0.5 equ n 2.51668159569
9 8 270 0.6 6 -2.0 comp down 1.41120186063
10 8 0 0.4 6 -2.0 equ n 1.37597857887
11 8 180 0.8 6 -0.5 equ m 1.04665864064
12 8 0 0.4 6 0.0 equ n 0.799679035712
13 8 90 0.4 6 0.0 equ m 1.11724740352
14 8 0 0.4 6 -1.5 comp left 1.29365127732
15 8 270 0.8 6 -0.5 equ m 0.858507029287
16 8 270 0.2 6 -1.5 comp down 0.881992922228
17 8 180 0.4 6 -2.0 equ n 0.705616645069
18 8 270 0.0 6 1.0 equ m 1.32888452453
19 8 90 0.4 6 -0.5 comp up 1.8110653339
20 8 0 0.6 6 1.0 comp right 1.04666783952
21 8 90 0.0 6 0.0 comp up 1.32891863705
22 8 270 0.8 6 0.0 equ n 1.86990597594
23 8 270 0.0 6 2.0 equ n 1.14074134548
24 8 180 0.4 6 0.5 comp left 1.27010060893
25 8 90 0.8 6 0.0 comp up 1.74051145012
26 8 270 0.2 6 2.0 equ n 5.23332424944
27 8 180 0.6 6 1.5 equ n 0.67035886751
28 8 90 0.6 6 -0.5 equ m 0.917298227338
29 8 0 0.0 6 -2.0 comp left 1.14074479506
30 8 270 0.8 6 -1.0 comp down 1.4347820421
31 8 90 0.0 6 -2.0 comp up 1.59917830996
32 8 90 0.6 6 -2.0 comp up 1.31715211844
33 8 180 0.6 6 -1.0 comp right 0.976165316157
34 8 90 0.2 6 1.0 comp down 0.987885840354
35 8 270 0.0 6 0.0 equ n 4.79819418301
36 8 0 0.8 6 0.5 equ n 0.682079008422
37 8 180 0.6 6 1.5 comp left 1.36416644915
38 8 90 0.8 6 1.0 equ n 1.44648301867
39 8 270 0.0 6 -1.0 comp down 2.35206302153
40 8 90 0.0 6 -2.0 equ n 1.5288283347
41 8 270 0.4 6 -1.5 comp down 1.17600947178
42 8 90 0.6 6 0.5 comp up 1.28187364341
43 8 180 0.8 6 -1.5 comp right 0.835018836624
44 8 0 0.6 6 -0.5 comp left 0.964317157484
45 8 180 0.4 6 1.5 equ n 1.09367527107
46 8 180 0.4 6 0.5 equ n 1.61116406856
47 8 0 0.6 6 0.0 comp right 1.03493160057
48 8 90 0.2 6 2.0 comp down 1.44652403035
49 8 90 0.8 6 -0.5 equ n 4.45711884149
50 8 90 0.2 6 -1.0 equ n 0.611525124636
51 8 0 0.4 6 -0.5 equ m 0.729130901227
52 8 0 0.4 6 -2.0 comp left 0.705627377096
53 8 0 0.0 6 0.5 comp right 0.823250784875
54 8 90 0.0 6 1.5 comp down 1.199547875
55 8 270 0.4 6 0.5 equ n 4.0220225043
56 8 0 0.6 6 1.5 comp right 0.834975141939
57 8 0 0.4 6 0.0 comp right 0.764417425286
58 8 0 0.0 6 -1.0 equ n 0.999647759516
59 8 270 0.6 6 0.5 comp up 2.49320336848
60 8 180 0.0 6 -0.5 equ n 7.03266215998
61 8 0 0.6 6 2.0 comp right 0.870251317261
62 8 270 0.8 6 1.5 comp up 1.14078542345
63 8 0 0.0 6 0.0 equ n 1.10545558799
64 8 0 0.2 6 -1.5 comp left 1.0113801656
65 8 270 0.6 6 -1.0 equ m 1.18778480598
66 8 180 0.4 6 -2.0 comp right 0.811459352635
67 8 180 0.0 6 2.0 comp left 2.2932250625
68 8 90 0.4 6 -0.5 equ m 0.893773622438
69 8 270 0.2 6 0.5 comp up 1.68172446822
70 8 180 0.8 6 0.0 equ n 0.823223954805
71 8 270 0.8 6 1.0 equ m 0.858501663271
72 8 90 0.6 6 2.0 equ n 0.752706866544
73 8 0 0.2 6 -2.0 comp left 0.964364685036
74 8 0 0.0 6 1.5 comp right 0.717416892901
75 8 0 0.4 6 2.0 equ n 0.646820847576
76 8 180 0.8 6 1.0 equ n 0.799707398928
77 8 270 0.6 6 1.5 comp up 1.61115755268
78 8 90 0.4 6 -1.0 equ n 0.999624762313
79 8 90 0.0 6 0.0 equ m 0.764484117173
80 8 90 0.8 6 1.5 equ n 0.893778221878
81 8 90 0.0 6 1.0 comp up 0.89376748985
82 8 270 0.4 6 0.5 comp down 1.27012858886
83 8 180 0.8 6 2.0 comp left 0.65860959681
84 8 270 0.2 6 -0.5 comp down 1.2583521048
85 8 270 0.0 6 0.5 comp down 1.57584918128
86 8 90 0.2 6 -2.0 equ n 2.59901694625
87 8 180 0.0 6 1.5 comp left 0.588003202743
88 8 180 0.2 6 -0.5 equ m 0.952542973146
89 8 90 0.6 6 1.0 equ n 1.07016791407
90 8 270 0.0 6 -2.0 comp down 0.94079676874
91 8 180 0.0 6 -1.5 comp right 0.799675202845
92 8 90 0.2 6 0.5 comp down 1.34066560803
93 8 180 0.8 6 -2.0 equ n 1.37598087859
94 8 180 0.8 6 -1.0 comp right 0.823216672359
95 8 270 0.4 6 0.0 equ n 0.893773239151
96 8 270 0.2 6 1.5 equ n 0.729135883954
97 8 90 0.6 6 2.0 comp down 0.68209089031
98 8 0 0.6 6 -1.5 equ n 0.929106524191
99 8 0 0.2 6 -0.5 equ n 0.799700883053
100 8 180 0.2 6 0.0 equ m 1.03511404504
101 8 180 0.2 6 0.0 comp left 0.905489547196
102 8 180 0.8 6 -1.5 equ n 1.51707791414
103 8 180 0.0 6 0.0 comp right 0.823219355365
104 8 90 0.6 6 -1.0 comp up 0.999653125529
105 8 0 0.8 6 2.0 equ n 1.64646745723
106 8 180 0.0 6 0.0 equ m 0.882000204674
107 8 180 0.0 6 0.5 comp left 1.75230211578
108 8 180 0.6 6 0.0 equ n 4.64533637816
109 8 0 0.8 6 0.5 comp right 0.846697965859
110 8 270 0.2 6 1.0 equ n 1.88164949734
111 8 180 0.4 6 1.0 comp left 2.51667507981
112 8 180 0.4 6 -1.5 equ n 1.36418982964
113 8 0 0.2 6 1.5 comp right 0.787920949417
114 8 0 0.4 6 1.0 equ n 1.12899284135
115 8 180 0.2 6 1.5 equ n 0.834996989282
116 8 90 0.6 6 -1.0 equ n 0.682107754925
117 8 180 0.2 6 -2.0 equ n 0.635074259882
118 8 0 0.8 6 -0.5 comp left 0.98784904483
119 8 0 0.0 6 0.0 comp left 0.917310109226
120 8 90 0.2 6 0.0 comp down 1.81084494405
121 8 180 0.4 6 2.0 equ n 0.905573870272
122 8 270 0.8 6 0.0 comp up 0.917333106428
123 8 270 0.2 6 0.5 equ m 1.29361754809
124 8 180 0.2 6 -2.0 comp right 1.52880917036
125 8 90 0.2 6 -2.0 comp up 0.999626678748
126 8 0 0.6 6 0.5 comp right 0.917299760484
127 8 180 0.6 6 -0.5 equ n 1.32890790502
128 8 90 0.8 6 2.0 comp down 1.39949130188
129 8 90 0.0 6 -0.5 comp down 1.5523326254
130 8 270 0.0 6 2.0 comp up 1.50530564623
131 8 90 0.4 6 -1.0 comp down 1.38770791866
132 8 0 0.2 6 2.0 comp right 1.03492585127
133 8 0 0.0 6 -1.0 comp right 1.18776295864
134 8 90 0.6 6 -2.0 equ n 1.02313288588
135 8 0 0.0 6 0.5 equ m 0.834999289003
136 8 270 0.0 6 -2.0 equ n 0.752646690529
137 8 270 0.4 6 2.0 comp up 1.84636565629
138 8 0 0.2 6 -0.5 comp right 2.01103597414
139 8 180 0.2 6 0.5 comp left 1.11722019016
140 8 180 0.2 6 -1.0 equ m 1.0348702747
141 8 270 0.0 6 0.0 comp down 1.2348332492
142 8 180 0.4 6 -1.5 comp right 0.846753925718
143 8 270 0.2 6 -0.5 equ n 0.823191375437
144 8 180 0.6 6 0.0 comp left 0.999616713292
145 8 90 0.0 6 -0.5 equ n 1.10552342974
146 8 0 0.4 6 0.5 equ n 0.776202724937
147 8 90 0.0 6 2.0 comp down 1.36418024747
148 8 180 0.6 6 -1.5 equ n 0.505631439935
149 8 0 0.2 6 0.5 comp right 0.952542973148
150 8 0 0.2 6 0.0 equ m 1.01135640183
151 8 270 0.8 6 0.5 comp down 2.09330271639
152 8 0 0.2 6 -1.0 comp left 0.752689235354
153 8 270 0.6 6 -1.5 equ n 1.09370976687
154 8 180 0.8 6 2.0 equ n 0.799687084733
155 8 180 0.4 6 -0.5 equ m 0.846745876697
156 8 270 0.2 6 1.5 comp up 0.940789103006
157 8 0 0.6 6 -1.0 comp left 0.85852887663
158 8 90 0.4 6 0.5 equ m 1.09368255352
159 8 90 0.6 6 1.0 comp down 0.89375254167
160 8 90 0.6 6 1.5 comp down 0.599752856733
161 8 270 0.8 6 2.0 equ n 0.658600397928
162 8 0 0.4 6 1.0 comp right 1.48178334106
163 8 180 0.8 6 0.5 equ n 0.811438655155
