trial size orLarge phase dur orSmall task response rt
1 8 90 0.4 6 1.0 equ n 1.54060596862
2 8 90 0.0 6 -1.0 equ m 0.635026349044
3 8 180 0.0 6 -2.0 equ n 0.658579317159
4 8 270 0.0 6 0.0 equ m 0.987864759585
5 8 90 0.8 6 1.5 equ n 0.71746480374
6 8 180 0.8 6 0.5 comp left 0.987854027558
7 8 180 0.4 6 1.5 comp left 0.623288960232
8 8 0 0.4 6 0.0 equ n 0.658576634152
9 8 90 0.6 6 2.0 equ n 0.787938197318
10 8 0 0.8 6 2.0 equ n 0.576242050154
11 8 180 0.2 6 -1.5 equ n 0.517424022034
12 8 180 0.2 6 0.0 equ m 0.752660105564
13 8 90 0.4 6 -1.0 equ m 0.823235453407
14 8 0 0.2 6 -1.5 comp left 1.59935538842
15 8 270 0.4 6 -1.5 equ n 1.59936305415
16 8 0 0.2 6 -1.0 equ n 1.37598087859
17 8 270 0.4 6 1.0 comp up 0.893775155585
18 8 0 0.2 6 1.5 comp right 1.11724088765
19 8 0 0.8 6 -1.5 comp left 0.646826213591
20 8 0 0.0 6 0.5 comp right 0.77617934445
21 8 90 0.4 6 -2.0 comp up 0.729101771436
22 8 90 0.4 6 1.5 comp down 0.976080609794
23 8 0 0.4 6 2.0 comp right 0.693869290801
24 8 270 0.6 6 -0.5 equ m 1.61115486968
25 8 180 0.8 6 1.5 comp left 0.61150940988
26 8 180 0.0 6 0.5 comp left 1.01134988595
27 8 180 0.2 6 0.5 comp left 0.834954444459
28 8 270 0.2 6 1.5 comp up 1.28184757991
29 8 90 0.4 6 -0.5 comp down 4.19842024551
30 8 90 0.2 6 1.0 comp down 1.17602212024
31 8 180 0.8 6 -1.0 comp right 0.705630060103
32 8 180 0.4 6 -1.0 equ m 0.964328656086
33 8 0 0.8 6 -0.5 equ n 1.25837203571
34 8 180 0.6 6 -1.5 equ m 1.09370171785
35 8 270 0.6 6 -1.0 comp down 1.08192101764
36 8 90 0.6 6 -1.5 comp up 0.905517910413
37 8 270 0.2 6 1.0 equ n 1.35244937453
38 8 180 0.8 6 1.0 equ n 0.729133584233
39 8 180 0.4 6 2.0 equ n 1.16426671695
40 8 180 0.2 6 2.0 comp left 0.752644774097
41 8 270 0.0 6 -1.0 comp down 1.023123687
42 8 180 0.8 6 -1.5 comp right 0.658555170096
43 8 180 0.0 6 1.0 comp left 0.623272478902
44 8 90 0.8 6 2.0 equ n 1.15247796772
45 8 90 0.0 6 2.0 comp down 0.705587898566
46 8 270 0.0 6 0.5 equ n 1.49355254267
47 8 0 0.6 6 0.0 equ n 0.882011703276
48 8 180 0.6 6 -1.0 comp right 1.44651598133
49 8 270 0.6 6 1.5 equ n 1.0348990212
50 8 0 0.0 6 0.0 comp right 0.752653206404
51 8 180 0.0 6 -0.5 comp left 0.870259749568
52 8 180 0.6 6 -1.5 comp right 0.823214372638
53 8 0 0.6 6 1.0 equ n 2.09327167017
54 8 0 0.8 6 0.0 equ m 1.18778940542
55 8 90 0.4 6 -1.0 comp up 1.2348045027
56 8 90 0.0 6 -2.0 comp up 0.811452453476
57 8 0 0.0 6 -1.5 equ m 1.317147519
58 8 0 0.6 6 0.0 comp right 2.65785337214
59 8 0 0.8 6 -2.0 equ n 0.882020135584
60 8 270 0.0 6 -1.5 equ m 1.24666377668
61 8 180 0.8 6 -0.5 equ m 0.705641175417
62 8 270 0.0 6 -2.0 equ n 0.976103990282
63 8 270 0.2 6 1.5 equ m 1.16427438269
64 8 180 0.6 6 0.0 equ m 0.870285046491
65 8 0 0.4 6 0.5 comp right 0.705630060103
66 8 270 0.4 6 -0.5 equ n 8.59672834133
67 8 180 0.6 6 2.0 equ n 0.705607062901
68 8 90 0.2 6 1.5 equ n 1.39949398489
69 8 90 0.0 6 0.5 equ m 1.02314630092
70 8 270 0.8 6 1.0 comp up 1.03490362064
71 8 90 0.8 6 1.5 comp down 0.823211306345
72 8 270 0.6 6 -2.0 equ m 0.917269864121
73 8 0 0.4 6 0.0 comp right 1.14075054436
74 8 90 0.2 6 0.5 comp up 1.02314553435
75 8 270 0.6 6 -1.0 equ n 1.76399389348
76 8 0 0.6 6 -0.5 equ n 1.07023268953
77 8 90 0.2 6 -0.5 comp up 0.999580301057
78 8 90 0.2 6 -1.0 comp up 1.71700255997
79 8 270 0.0 6 -0.5 equ m 0.96436200203
80 8 0 0.0 6 1.0 comp right 1.36420631097
81 8 270 0.6 6 -2.0 comp down 4.08076425836
82 8 180 0.4 6 1.0 equ n 0.717359783182
83 8 180 0.2 6 -1.0 equ m 0.776154430813
84 8 270 0.2 6 0.5 comp up 1.05839947904
85 8 180 0.4 6 -2.0 comp right 0.740933065492
86 8 180 0.0 6 2.0 comp left 0.92905554706
87 8 90 0.2 6 1.0 equ m 0.717365532483
88 8 270 0.4 6 0.0 equ m 0.658564368978
89 8 180 0.8 6 -1.5 equ m 0.635024815898
90 8 0 0.2 6 1.0 comp right 0.823232387113
91 8 0 0.2 6 0.0 equ n 1.07019474414
92 8 0 0.4 6 -1.0 comp left 1.34064107768
93 8 0 0.6 6 1.0 comp right 0.646841545059
94 8 0 0.0 6 0.5 equ n 0.799647989489
95 8 0 0.6 6 -2.0 comp left 1.28188284229
96 8 0 0.2 6 0.5 equ n 1.12900663968
97 8 180 0.4 6 -0.5 comp right 1.96401052812
98 8 0 0.0 6 1.0 equ n 0.79966063795
99 8 90 0.4 6 -1.5 equ n 0.917305893072
100 8 270 0.0 6 2.0 equ n 0.929058613353
101 8 90 0.2 6 0.0 equ m 1.05835961722
102 8 0 0.6 6 2.0 equ n 0.976116638743
103 8 180 0.8 6 -2.0 equ n 1.63468330744
104 8 0 0.4 6 2.0 equ n 0.658595798488
105 8 270 0.4 6 1.5 equ n 0.823196741449
106 8 90 0.4 6 0.5 equ n 1.03488368973
107 8 90 0.2 6 1.5 comp down 1.28186482781
108 8 180 0.0 6 -1.0 comp right 0.952583601538
109 8 90 0.2 6 -1.0 equ m 0.917305893071
110 8 90 0.6 6 -2.0 equ n 1.19955170787
111 8 90 0.8 6 -1.0 equ m 1.09368523652
112 8 270 0.6 6 -0.5 comp down 1.23484628095
113 8 0 0.8 6 0.0 comp right 0.964326739652
114 8 90 0.8 6 1.0 equ n 10.0903015815
115 8 270 0.0 6 -1.0 equ m 1.04665097491
116 8 270 0.8 6 -1.0 comp up 1.37576010545
117 8 0 0.6 6 0.5 comp right 0.635053945688
118 8 90 0.0 6 1.0 comp down 1.55233032568
119 8 180 0.6 6 1.5 comp left 0.799671369978
120 8 0 0.6 6 -1.0 equ n 1.72879207578
121 8 90 0.6 6 1.5 equ n 0.823200957603
122 8 0 0.0 6 0.0 equ m 0.740881705074
123 8 0 0.2 6 2.0 equ n 0.693862008353
124 8 90 0.6 6 0.0 comp down 1.25837395214
125 8 180 0.6 6 1.0 equ n 1.11722555618
126 8 90 0.0 6 -0.5 comp down 2.08158985793
127 8 0 0.6 6 -2.0 equ n 0.717362849477
128 8 0 0.2 6 0.5 comp right 1.36420746083
129 8 90 0.6 6 1.0 equ m 0.787909834103
130 8 180 0.2 6 -2.0 comp right 0.929098091884
131 8 180 0.2 6 0.5 equ n 3.11649194542
132 8 270 0.4 6 -2.0 equ n 1.79931414677
133 8 90 0.6 6 -0.5 equ m 1.02314016833
134 8 270 0.6 6 0.0 equ m 0.693859325346
135 8 270 0.4 6 0.0 comp down 1.69347910493
136 8 180 0.6 6 -0.5 comp right 2.74014349488
137 8 90 0.8 6 -2.0 equ n 0.682107371638
138 8 90 0.6 6 1.5 comp down 0.976075627066
139 8 180 0.2 6 2.0 equ n 2.01101029393
140 8 270 0.8 6 -0.5 comp down 1.19955170787
141 8 0 0.4 6 1.0 equ n 0.999621312733
